,VIX_minus_VXV
count,4572.0
mean,-1.6982283464566932
std,2.148889292480668
min,-6.66
5%,-3.91
25%,-2.789999999999999
50%,-2.0199999999999996
75%,-1.1099999999999994
95%,1.1899999999999993
max,23.83
