date,nav,cash,leaps_value,open_positions,qqq_close,vix,regime,total_ret_pct
2019-01-02,25000.0,25000.0,0.0,0,148.04,23.2,BEAR_SMA_FORCED,0.0
2019-01-03,25000.0,25000.0,0.0,0,143.2,25.5,BEAR_SMA_FORCED,0.0
2019-01-04,25000.0,25000.0,0.0,0,149.33,21.4,BEAR_SMA_FORCED,0.0
2019-01-07,25000.0,25000.0,0.0,0,151.11,21.4,BEAR_SMA_FORCED,0.0
2019-01-08,25000.0,25000.0,0.0,0,152.48,20.5,BEAR_SMA_FORCED,0.0
2019-01-09,25000.0,25000.0,0.0,0,153.72,20.0,BEAR_SMA_FORCED,0.0
2019-01-10,25000.0,25000.0,0.0,0,154.16,19.5,BEAR_SMA_FORCED,0.0
2019-01-11,25000.0,25000.0,0.0,0,153.59,18.2,BEAR_SMA_FORCED,0.0
2019-01-14,25000.0,25000.0,0.0,0,152.24,19.1,BEAR_SMA_FORCED,0.0
2019-01-15,25000.0,25000.0,0.0,0,155.21,18.6,BEAR_SMA_FORCED,0.0
2019-01-16,25000.0,25000.0,0.0,0,155.18,19.0,BEAR_SMA_FORCED,0.0
2019-01-17,25000.0,25000.0,0.0,0,156.4,18.1,BEAR_SMA_FORCED,0.0
2019-01-18,25000.0,25000.0,0.0,0,157.95,17.8,BEAR_SMA_FORCED,0.0
2019-01-22,25000.0,25000.0,0.0,0,154.79,20.8,BEAR_SMA_FORCED,0.0
2019-01-23,25000.0,25000.0,0.0,0,154.99,19.5,BEAR_SMA_FORCED,0.0
2019-01-24,25000.0,25000.0,0.0,0,155.99,18.9,BEAR_SMA_FORCED,0.0
2019-01-25,25000.0,25000.0,0.0,0,157.86,17.4,BEAR_SMA_FORCED,0.0
2019-01-28,25000.0,25000.0,0.0,0,155.91,18.9,BEAR_SMA_FORCED,0.0
2019-01-29,25000.0,25000.0,0.0,0,154.44,19.1,BEAR_SMA_FORCED,0.0
2019-01-30,25000.0,25000.0,0.0,0,158.36,17.7,BEAR_SMA_FORCED,0.0
2019-01-31,25000.0,25000.0,0.0,0,160.73,16.6,BEAR_SMA_FORCED,0.0
2019-02-01,25000.0,25000.0,0.0,0,160.06,16.1,BEAR,0.0
2019-02-04,25000.0,25000.0,0.0,0,162.04,15.7,BEAR,0.0
2019-02-05,25000.0,25000.0,0.0,0,163.48,15.6,BEAR,0.0
2019-02-06,25000.0,25000.0,0.0,0,162.99,15.4,BULL_STRONG,0.0
2019-02-07,25000.0,25000.0,0.0,0,160.8,16.4,BULL_STRONG,0.0
2019-02-08,25000.0,25000.0,0.0,0,161.12,15.7,BULL_STRONG,0.0
2019-02-11,25000.0,25000.0,0.0,0,160.96,16.0,BULL_STRONG,0.0
2019-02-12,25000.0,25000.0,0.0,0,163.34,15.4,BULL_STRONG,0.0
2019-02-13,25000.0,25000.0,0.0,0,163.46,15.6,BULL_STRONG,0.0
2019-02-14,25000.0,25000.0,0.0,0,163.66,16.2,BULL_STRONG,0.0
2019-02-15,25000.0,25000.0,0.0,0,164.35,14.9,BULL_STRONG,0.0
2019-02-19,25000.0,25000.0,0.0,0,164.67,14.9,BULL_STRONG,0.0
2019-02-20,25000.0,25000.0,0.0,0,164.64,14.0,BULL_STRONG,0.0
2019-02-21,25000.0,25000.0,0.0,0,164.04,14.5,BULL_STRONG,0.0
2019-02-22,25000.0,25000.0,0.0,0,165.26,13.5,BULL_STRONG,0.0
2019-02-25,25000.0,25000.0,0.0,0,165.86,14.9,BULL_STRONG,0.0
2019-02-26,25000.0,25000.0,0.0,0,166.03,15.2,BULL_STRONG,0.0
2019-02-27,25000.0,25000.0,0.0,0,165.92,14.7,BULL_STRONG,0.0
2019-02-28,25000.0,25000.0,0.0,0,165.54,14.8,BULL_STRONG,0.0
2019-03-01,25000.0,25000.0,0.0,0,166.69,13.6,BULL_STRONG,0.0
2019-03-04,25000.0,25000.0,0.0,0,166.72,14.6,BULL_STRONG,0.0
2019-03-05,25000.0,25000.0,0.0,0,166.84,14.7,BULL_STRONG,0.0
2019-03-06,25000.0,25000.0,0.0,0,165.9,15.7,BULL_STRONG,0.0
2019-03-07,25000.0,25000.0,0.0,0,163.86,16.6,BULL_STRONG,0.0
2019-03-08,25000.0,25000.0,0.0,0,163.61,16.0,BULL_STRONG,0.0
2019-03-11,25000.0,25000.0,0.0,0,167.01,14.3,BULL_STRONG,0.0
2019-03-12,25000.0,25000.0,0.0,0,167.93,13.8,BULL_STRONG,0.0
2019-03-13,25000.0,25000.0,0.0,0,169.19,13.4,BULL_STRONG,0.0
2019-03-14,25000.0,25000.0,0.0,0,168.91,13.5,BULL_STRONG,0.0
2019-03-15,25000.0,25000.0,0.0,0,170.47,12.9,BULL_STRONG,0.0
2019-03-18,25000.0,25000.0,0.0,0,170.88,13.1,BULL_STRONG,0.0
2019-03-19,25000.0,25000.0,0.0,0,171.46,13.6,BULL_STRONG,0.0
2019-03-20,25000.0,25000.0,0.0,0,172.13,13.9,BULL_STRONG,0.0
2019-03-21,25000.0,25000.0,0.0,0,174.83,13.6,BULL_STRONG,0.0
2019-03-22,25000.0,25000.0,0.0,0,170.99,16.5,BULL_STRONG,0.0
2019-03-25,25000.0,25000.0,0.0,0,170.66,16.3,BULL_STRONG,0.0
2019-03-26,25000.0,25000.0,0.0,0,171.46,14.7,BULL_STRONG,0.0
2019-03-27,25000.0,25000.0,0.0,0,170.35,15.1,BULL_STRONG,0.0
2019-03-28,25000.0,25000.0,0.0,0,170.75,14.4,BULL_STRONG,0.0
2019-03-29,25000.0,25000.0,0.0,0,172.04,13.7,BULL_STRONG,0.0
2019-04-01,24977.61,19152.29,5825.32,1,174.32,13.4,BULL_STRONG,-0.09
2019-04-02,25068.54,13580.33,11774.1,2,174.98,13.4,BULL_STRONG,0.27
2019-04-03,25390.95,7837.49,18199.82,3,175.98,13.7,BULL_STRONG,1.56
2019-04-04,25330.07,8118.93,18102.65,3,175.92,13.6,BULL_STRONG,1.32
2019-04-05,25524.66,8118.93,18337.92,3,176.83,12.8,BULL_STRONG,2.1
2019-04-08,25778.21,8118.93,18642.93,3,177.28,13.2,BULL_STRONG,3.11
2019-04-09,25789.62,8118.93,18642.54,3,176.65,14.3,BULL_STRONG,3.16
2019-04-10,25939.35,8118.93,18826.06,3,177.6,13.3,BULL_STRONG,3.76
2019-04-11,25776.24,8118.93,18517.18,3,177.18,13.0,BULL_STRONG,3.1
2019-04-12,26201.04,8974.69,17755.7,3,177.95,12.0,BULL_STRONG,4.8
2019-04-15,26289.11,9218.82,17816.97,3,177.98,12.3,BULL_STRONG,5.16
2019-04-16,26506.35,9218.82,18104.99,3,178.59,12.2,BULL_STRONG,6.03
2019-04-17,26794.39,9218.82,18540.13,3,179.21,12.6,BULL_STRONG,7.18
2019-04-18,27335.34,11011.86,16624.97,3,179.44,12.1,BULL_STRONG,9.34
2019-04-22,27652.41,11509.52,16956.57,3,179.95,12.4,BULL_STRONG,10.61
2019-04-23,28346.23,11509.52,18100.58,3,182.24,12.3,BULL_STRONG,13.38
2019-04-24,28351.08,11509.52,18043.91,3,181.66,13.1,BULL_STRONG,13.4
2019-04-25,28584.57,11509.52,18439.87,3,182.4,13.2,BULL_STRONG,14.34
2019-04-26,28554.55,11509.52,18350.59,3,182.56,12.7,BULL_STRONG,14.22
2019-04-29,28789.92,11509.52,18617.99,3,182.92,13.1,BULL_STRONG,15.16
2019-04-30,28441.08,11509.52,17884.26,3,181.5,13.1,BULL_STRONG,13.76
2019-05-01,28676.7,11509.52,18137.31,3,180.92,14.8,BULL_STRONG,14.71
2019-05-02,28378.19,11509.52,17608.57,3,180.13,14.4,BULL_STRONG,13.51
2019-05-03,28889.54,11509.52,18555.27,3,183.0,12.9,BULL_STRONG,15.56
2019-05-06,29272.55,11509.52,18781.66,3,181.88,15.4,BULL_STRONG,17.09
2019-05-07,28966.03,11509.52,18098.56,3,178.34,19.3,BULL_STRONG,15.86
2019-05-08,28882.36,11509.52,17907.05,3,177.89,19.4,BULL_STRONG,15.53
2019-05-09,28479.51,11808.99,17335.93,3,176.93,19.1,BULL_STRONG,13.92
2019-05-10,28043.65,12315.86,16668.41,3,177.15,16.0,BULL_STRONG,12.17
2019-05-13,26984.65,12537.75,15224.32,3,171.0,20.5,BULL_STRONG,7.94
2019-05-14,26810.77,12537.75,15017.19,3,172.88,18.1,BULL_STRONG,7.24
2019-05-15,27534.64,12537.75,15895.05,3,175.32,16.4,BULL_STRONG,10.14
2019-05-16,27744.14,12537.75,16249.08,3,177.09,15.3,BULL_STRONG,10.98
2019-05-17,27399.76,12537.75,15641.62,3,175.28,16.0,BULL_STRONG,9.6
2019-05-20,26541.02,13002.99,14394.78,3,172.32,16.3,BULL_STRONG,6.16
2019-05-21,26671.7,13002.99,14654.61,3,174.12,14.9,BULL_STRONG,6.69
2019-05-22,26408.95,13002.99,14199.5,3,173.34,14.8,BULL_STRONG,5.64
2019-05-23,26287.52,13193.11,13884.7,3,170.69,16.9,BULL_STRONG,5.15
2019-05-24,25924.71,13193.11,13373.97,3,170.6,15.9,BULL_STRONG,3.7
2019-05-28,26334.78,13193.11,13741.81,3,169.96,17.5,BULL_STRONG,5.34
2019-05-29,26046.79,12952.01,13309.61,3,168.56,17.9,BULL_STRONG,4.19
2019-05-30,26068.92,13638.31,13339.55,3,169.27,17.3,BULL_STRONG,4.28
2019-05-31,25284.8,13487.71,12308.39,3,166.57,18.7,BULL_STRONG,1.14
2019-06-03,24111.36,15465.19,10871.58,3,162.9,18.9,BEAR,-3.55
2019-06-04,24827.55,15465.19,12369.87,3,167.49,17.0,BEAR,-0.69
2019-06-05,24753.67,15465.19,12498.07,3,168.74,16.1,BEAR,-0.99
2019-06-06,24895.73,15783.3,12977.18,3,170.08,15.9,BEAR,-0.42
2019-06-07,25228.56,15783.3,14544.33,3,173.36,16.3,BEAR,0.91
2019-06-10,25264.05,15783.3,15289.86,3,175.38,15.9,BULL_STRONG,1.06
2019-06-11,25293.39,15783.3,15402.33,3,175.62,16.0,BULL_STRONG,1.17
2019-06-12,25228.49,15783.3,14861.77,3,174.61,15.9,BULL_STRONG,0.91
2019-06-13,25241.77,15783.3,15279.01,3,175.64,15.8,BULL_STRONG,0.97
2019-06-14,25083.88,15783.3,14707.14,3,174.89,15.3,BULL_STRONG,0.34
2019-06-17,25177.98,15783.3,15194.19,3,175.95,15.4,BULL_STRONG,0.71
2019-06-18,25174.58,15783.3,16352.74,3,178.5,15.1,BULL_STRONG,0.7
2019-06-19,24949.47,15783.3,16370.97,3,179.17,14.3,BULL_STRONG,-0.2
2019-06-20,25006.34,15783.3,17296.52,3,180.84,14.8,BULL_STRONG,0.03
2019-06-21,25179.84,15783.3,17347.41,3,180.57,15.4,BULL_STRONG,0.72
2019-06-24,25172.85,15783.3,17268.78,3,180.58,15.3,BULL_STRONG,0.69
2019-06-25,25531.58,15783.3,16115.76,3,177.48,16.3,BULL_STRONG,2.13
2019-06-26,25526.03,15783.3,16475.79,3,178.3,16.2,BULL_STRONG,2.1
2019-06-27,25416.88,15783.3,16650.97,3,178.98,15.8,BULL_STRONG,1.67
2019-06-28,25197.71,15783.3,16473.85,3,179.21,15.1,BULL_STRONG,0.79
2019-07-01,24872.66,15783.3,17352.84,3,181.63,14.1,BULL_STRONG,-0.51
2019-07-02,24599.82,15783.3,17457.38,3,182.35,12.9,BULL_STRONG,-1.6
2019-07-03,25893.62,16076.47,17752.27,3,183.72,12.6,BULL_STRONG,3.57
2019-07-05,26036.8,16359.56,17744.33,3,183.35,13.3,BULL_STRONG,4.15
2019-07-08,26143.93,16359.56,17267.05,3,182.06,14.0,BULL_STRONG,4.58
2019-07-09,26247.85,16359.56,17769.85,3,182.98,14.1,BULL_STRONG,4.99
2019-07-10,26068.28,16359.56,18357.62,3,184.8,13.0,BULL_STRONG,4.27
2019-07-11,26021.75,16359.56,18228.71,3,184.67,12.9,BULL_STRONG,4.09
2019-07-12,34584.34,17220.84,17693.67,3,185.73,12.4,BULL_STRONG,38.34
2019-07-15,34921.47,17746.93,18059.87,3,186.33,12.7,BULL_STRONG,39.69
2019-07-16,34667.07,17746.93,17632.47,3,185.37,12.9,BULL_STRONG,38.67
2019-07-17,34617.02,17746.93,17535.82,3,184.45,14.0,BULL_STRONG,38.47
2019-07-18,34551.69,17746.93,17425.77,3,184.67,13.5,BULL_STRONG,38.21
2019-07-19,34334.58,17746.93,17092.79,3,183.31,14.4,BULL_STRONG,37.34
2019-07-22,34668.58,17746.93,17443.3,3,184.77,13.5,BULL_STRONG,38.67
2019-07-23,34906.39,17746.93,17739.07,3,185.98,12.6,BULL_STRONG,39.63
2019-07-24,35275.29,17746.93,18245.81,3,187.29,12.1,BULL_STRONG,41.1
2019-07-25,34823.63,17746.93,17540.11,3,185.51,12.7,BULL_STRONG,39.29
2019-07-26,35403.96,17746.93,18341.18,3,187.42,12.2,BULL_STRONG,41.62
2019-07-29,35394.08,17746.93,18170.86,3,186.78,12.8,BULL_STRONG,41.58
2019-07-30,35404.15,17746.93,18109.89,3,185.97,13.9,BULL_STRONG,41.62
2019-07-31,35111.54,18525.18,17651.69,3,183.4,16.1,BULL_STRONG,40.45
2019-08-01,35346.02,18525.18,17930.79,3,182.49,17.9,BULL_STRONG,41.38
2019-08-02,34413.52,18525.18,16565.41,3,179.8,17.6,BULL_STRONG,37.65
2019-08-05,34225.17,18525.18,16286.05,3,173.45,24.6,BULL_STRONG,36.9
2019-08-06,33466.52,18093.67,15372.86,3,175.87,20.2,BULL_STRONG,33.87
2019-08-07,33555.37,18093.67,15461.71,3,176.82,19.5,BEAR,34.22
2019-08-08,34642.49,19168.67,16558.62,3,180.67,16.9,BEAR,38.57
2019-08-09,34470.76,19168.67,16219.84,3,178.97,18.0,BEAR,37.88
