Date,close,high,low,open,volume,vix_level,vix_open,vix_high,vix_low,vix_roc_5,iv_rank,iv_percentile,term_slope
2019-12-31,10.350387573242188,10.375501054902243,10.148282666812321,10.200901911655142,84380000,13.779999732971191,14.84000015258789,15.390000343322754,13.75,0.09278351373105753,16.103520072717835,34.523809523809526,0.0
2020-01-02,10.863420486450195,10.863420486450195,10.550099154681469,10.608697272759226,131072000,12.470000267028809,13.460000038146973,13.720000267028809,12.420000076293945,-0.015785304503615927,6.685839335847807,8.333333333333332,0.0
2020-01-03,10.568037986755371,10.762966948586758,10.432902373361454,10.438882164399207,145180000,14.020000457763672,15.010000228881836,16.200000762939453,13.130000114440918,0.1083004648653556,19.00383493995177,39.08730158730159,0.0
2020-01-06,10.768946647644043,10.772534157280848,10.27863298315258,10.316901273258509,128095200,13.850000381469727,15.449999809265137,16.389999389648438,13.539999961853027,0.031273273771414756,17.701152382026287,35.714285714285715,0.0
2020-01-07,10.755790710449219,10.856244619306752,10.662511820113535,10.77970804711399,107699200,13.789999961853027,13.84000015258789,14.460000038146973,13.390000343322754,-0.0695006581768629,17.24137905835003,35.51587301587302,0.0
2020-01-08,11.003339767456055,11.155216783462402,10.706759842152186,10.758182941251277,159164800,13.449999809265137,15.15999984741211,15.239999771118164,12.829999923706055,-0.023947745290333278,14.636013942499066,28.57142857142857,0.0
2020-01-09,11.28078556060791,11.344167331630665,11.08824796614934,11.268826890820451,145423200,12.539999961853027,12.949999809265137,13.239999771118164,12.529999732971191,0.005613447740598687,7.662835137044459,9.523809523809524,0.0
2020-01-10,11.188703536987305,11.41711808687566,11.137280428169747,11.4075507846798,137604000,12.5600004196167,12.420000076293945,12.869999885559082,12.09000015258789,-0.10413694653900585,7.8160953475528965,9.920634920634921,0.0
2020-01-13,11.579756736755371,11.585735615387721,11.278393152134193,11.328621024496396,116558400,12.319999694824219,12.84000015258789,13.09000015258789,12.319999694824219,-0.11046936061406432,5.9770093606969406,6.15079365079365,0.0
2020-01-14,11.444619178771973,11.618023052624793,11.387217209239067,11.549857643562058,145737600,12.390000343322754,12.720000267028809,13.819999694824219,12.050000190734863,-0.10152281525765494,6.513412789627414,7.738095238095238,0.0
2020-01-15,11.451796531677246,11.615632214440735,11.339383034829678,11.454187900543209,133003200,12.420000076293945,12.789999961853027,12.829999923706055,11.949999809265137,-0.07657990688309657,6.743295797541012,8.531746031746032,0.0
2020-01-16,11.771098136901855,11.778273156184513,11.543879764941657,11.613241325967362,121100800,12.319999694824219,12.199999809265137,12.420000076293945,11.779999732971191,-0.017543880996655048,5.9770093606969406,6.349206349206349,0.0
2020-01-17,11.946891784667969,11.975592770285706,11.750766710235654,11.924169676843825,144402400,12.100000381469727,12.210000038146973,12.479999542236328,11.75,-0.036624205635258256,4.291190892198484,3.571428571428571,0.0
2020-01-21,11.940913200378418,12.019842059282933,11.834479493592372,11.842850653259095,138882400,12.850000381469727,13.229999542236328,13.329999923706055,12.319999694824219,0.04301953731932051,10.038317244981828,20.634920634920633,0.0
2020-01-22,12.022234916687012,12.232710987437658,11.980379113171054,12.105947436107016,136148800,12.90999984741211,12.449999809265137,13.010000228881836,12.3100004196167,0.04196928891689611,10.498083260809022,22.61904761904762,0.0
2020-01-23,12.13344955444336,12.14899573156534,11.835674433771759,11.998314872847402,143588800,12.979999542236328,13.260000228881836,14.149999618530273,12.9399995803833,0.04508852355091797,11.034479381890435,23.809523809523807,0.0
2020-01-24,11.818933486938477,12.342730868826754,11.661076679219544,12.305658720104184,239374400,14.5600004196167,12.75,15.979999542236328,12.619999885559082,0.18181824515251677,23.141765621641817,50.79365079365079,0.0
2020-01-27,11.08824634552002,11.283175280490566,10.784491432896864,11.032039602107167,198626400,18.229999542236328,17.420000076293945,19.020000457763672,16.81999969482422,0.5066114849181536,51.26436385137384,89.68253968253968,0.0
2020-01-28,11.603673934936523,11.680210514648646,11.238929496830812,11.319053586156315,171862400,16.280000686645508,16.940000534057617,18.030000686645508,15.6899995803833,0.2669260858639346,36.321844103556025,77.57936507936508,0.0
