Symbol,Strategy,Direction,Exit,Entry Date,Exit Date,Days Held,Entry $,Exit $,PnL $,PnL %
TSLA,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-01-02,2019-01-16,14,379.72,377.75,1.97,0.2
TSM,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-01-02,2019-01-16,14,238.55,192.82,45.74,6.1
DIS,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-01-16,2019-01-31,15,219.71,75.17,144.54,22.5
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-01-16,2019-01-31,15,262.06,142.72,119.35,16.1
GLW,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-01-31,2019-02-14,14,478.14,361.02,117.12,10.2
AVGO,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-02-01,2019-02-15,14,941.86,980.46,38.6,4.1
MRVL,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-02-14,2019-03-01,15,281.86,183.74,98.12,11.8
AMAT,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-02-15,2019-03-04,17,344.42,147.82,196.6,22.6
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-03-01,2019-03-15,14,284.93,249.09,35.85,3.1
TSLA,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-03-04,2019-03-18,14,947.07,918.5,-28.57,-3.0
ORCL,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-03-15,2019-03-29,14,983.66,1006.62,22.96,2.3
GOOG,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-03-18,2019-04-01,14,1216.54,1235.24,18.7,1.5
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-03-29,2019-04-12,14,238.22,147.13,91.09,10.5
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-04-01,2019-04-15,14,257.59,143.69,113.9,13.4
CVX,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-04-12,2019-04-29,17,150.44,92.09,58.36,11.0
NOW,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-04-15,2019-04-30,15,1054.13,1226.88,172.75,16.4
TSM,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-04-29,2019-05-13,14,780.13,750.57,-29.57,-3.8
ANET,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-04-30,2019-05-14,14,1641.99,1587.49,-54.5,-3.3
AVGO,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-05-13,2019-05-28,15,1018.34,950.3,-68.04,-6.7
GOOG,PUT_BWB,BULLISH,TIME_STOP: 10 trading days >= 10,2019-05-14,2019-05-29,15,20.33,0.0,-20.33,-4.8
ORCL,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-05-28,2019-06-11,14,233.11,208.12,24.98,2.2
JCI,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-05-29,2019-06-12,14,195.49,80.22,115.27,14.5
CRM,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-06-11,2019-06-25,14,169.52,133.71,35.81,8.0
AMD,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-06-12,2019-06-26,14,351.52,275.99,75.53,8.7
JPM,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-06-25,2019-07-10,15,161.8,80.9,80.9,10.0
META,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-06-26,2019-07-11,15,198.68,99.1,99.57,17.8
JCI,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-07-10,2019-07-24,14,192.62,78.2,114.42,13.2
JCI,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-07-11,2019-07-25,14,749.48,739.12,-10.36,-1.4
GOOG,NAKED_LONG,BULLISH,PROFIT_25PCT: Option gain 32.3% >= 25%,2019-07-25,2019-07-26,1,1157.73,1532.06,374.33,32.3
SHOP,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-07-24,2019-08-07,14,724.86,848.02,123.16,17.0
AMAT,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-07-26,2019-08-09,14,279.01,231.44,47.57,5.6
ANET,PUT_BWB,BULLISH,TIME_STOP: 10 trading days >= 10,2019-08-08,2019-08-22,14,87.19,12.54,-74.66,-10.2
ANET,PUT_BWB,BULLISH,TIME_STOP: 10 trading days >= 10,2019-08-09,2019-08-23,14,85.03,10.11,-74.92,-10.5
BABA,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-08-22,2019-09-06,15,172.66,134.12,38.54,7.9
AVGO,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-08-23,2019-09-09,17,326.23,258.38,67.85,7.6
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-09-06,2019-09-20,14,352.15,281.49,70.65,7.5
SHOP,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-09-09,2019-09-23,14,872.91,774.5,-98.41,-11.3
WDC,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-09-20,2019-10-04,14,1051.49,955.17,-96.32,-9.2
SHOP,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-09-23,2019-10-07,14,315.69,299.84,15.85,1.9
TSLA,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-10-04,2019-10-18,14,1160.68,1263.87,103.19,8.9
TQQQ,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-10-08,2019-10-22,14,330.17,342.12,-11.96,-1.3
NOW,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-10-18,2019-11-01,14,341.27,320.63,20.65,2.4
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-10-22,2019-11-05,14,324.62,232.42,92.19,9.7
BABA,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-11-01,2019-11-15,14,165.9,90.45,75.45,15.0
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-11-05,2019-11-19,14,292.85,186.43,106.42,11.9
WMT,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-11-15,2019-12-02,17,746.96,747.08,0.12,0.0
QCOM,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-11-19,2019-12-04,15,318.11,232.25,85.86,9.4
AAPL,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2019-12-02,2019-12-16,14,1312.86,1398.95,86.09,6.6
MRVL,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-12-04,2019-12-18,14,297.78,272.81,24.97,2.8
ORCL,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2019-12-16,2019-12-31,15,177.63,119.71,57.93,6.5
SLB,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-01-02,2020-01-16,14,236.03,152.9,83.13,10.0
WMT,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-01-03,2020-01-17,14,78.77,20.38,58.39,7.7
BABA,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-01-16,2020-01-31,15,173.17,128.38,44.79,7.0
ABBV,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-01-17,2020-02-03,17,152.91,85.02,67.9,8.2
NVDA,NAKED_LONG,BULLISH,PROFIT_25PCT: Option gain 31.7% >= 25%,2020-01-31,2020-02-14,14,1560.72,2055.44,494.72,31.7
AAPL,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-02-03,2020-02-18,15,213.36,162.6,50.76,7.6
ABBV,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-02-14,2020-03-02,17,217.76,169.7,48.06,7.2
AMAT,PUT_BWB,BULLISH,TIME_STOP: 10 trading days >= 10,2020-02-18,2020-03-03,14,36.31,2.25,-34.06,-7.4
NOW,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-03-06,2020-03-20,14,294.89,259.77,35.13,4.6
MU,PUT_BWB,BULLISH,TIME_STOP: 10 trading days >= 10,2020-03-06,2020-03-20,14,93.47,80.67,-12.8,-1.8
WMT,PUT_BWB,BULLISH,TIME_STOP: 10 trading days >= 10,2020-03-20,2020-04-03,14,141.35,67.53,-73.83,-10.5
NVO,PUT_BWB,BULLISH,TIME_STOP: 10 trading days >= 10,2020-03-20,2020-04-03,14,129.03,69.92,-59.12,-7.8
NOW,PUT_BWB,BULLISH,TIME_STOP: 10 trading days >= 10,2020-04-03,2020-04-20,17,160.1,49.94,-110.15,-17.3
WMT,PUT_BWB,BULLISH,TIME_STOP: 10 trading days >= 10,2020-04-08,2020-04-23,15,149.36,0.0,-149.36,-19.9
NVDA,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-04-20,2020-05-04,14,389.86,310.94,78.92,9.4
BABA,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-04-24,2020-05-08,14,193.36,145.18,48.18,8.3
BABA,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-05-04,2020-05-18,14,181.88,171.32,10.55,1.9
SHOP,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-05-08,2020-05-22,14,291.66,249.61,42.04,6.6
NFLX,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-05-19,2020-06-03,15,273.42,185.93,87.48,9.2
BABA,CREDIT_SPREAD,BULLISH,TIME_STOP: 10 trading days >= 10,2020-05-22,2020-06-08,17,213.98,171.56,42.42,7.5
GDX,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2020-06-03,2020-06-17,14,744.81,725.68,-19.13,-2.6
MRVL,NAKED_LONG,BULLISH,TIME_STOP: 10 trading days >= 10,2020-06-08,2020-06-22,14,860.49,838.85,-21.64,-2.5
