date,net_liq,cash,total_return_pct,regime,confidence,p_loss,dual_confirm,base_signal,drawdown_pct,alloc_QQQ,alloc_QLD,alloc_TQQQ,alloc_SGOV
2019-03-05,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.741,False,-1,0.0,55.0,2.0,0.0,43.0
2019-03-06,5000.0,5000.0,0.0,BULL,0.0,0.748,False,-1,0.0,55.0,2.0,0.0,43.0
2019-03-07,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.686,False,-1,0.0,55.0,2.0,0.0,43.0
2019-03-08,5000.0,5000.0,0.0,BULL,0.0,0.692,False,-1,0.0,55.0,2.0,0.0,43.0
2019-03-11,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.736,False,-1,0.0,55.0,2.0,0.0,43.0
2019-03-12,5000.0,5000.0,0.0,BULL,0.0,0.755,False,-1,0.0,55.0,2.0,0.0,43.0
2019-03-13,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.748,False,-1,0.0,55.0,2.0,0.0,43.0
2019-03-14,5000.0,5000.0,0.0,BULL,0.0,0.741,False,-1,0.0,55.0,2.0,0.0,43.0
2019-03-15,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.755,False,-1,0.0,55.0,2.0,0.0,43.0
2019-03-18,5000.0,5000.0,0.0,BULL,0.0,0.748,False,-1,0.0,55.0,2.0,0.0,43.0
2019-03-19,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.748,False,-1,0.0,55.0,2.0,0.0,43.0
2019-03-20,5000.0,5000.0,0.0,BULL,0.0,0.755,False,-1,0.0,55.0,2.0,0.0,43.0
2019-03-21,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.755,False,1,0.0,40.0,0.0,20.0,40.0
2019-03-22,5000.0,5000.0,0.0,BULL,0.0,0.713,False,1,0.0,40.0,0.0,20.0,40.0
2019-03-25,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.708,False,1,0.0,40.0,0.0,20.0,40.0
2019-03-26,5000.0,5000.0,0.0,BULL,0.0,0.691,False,1,0.0,40.0,0.0,20.0,40.0
2019-03-27,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.719,False,1,0.0,40.0,0.0,20.0,40.0
2019-03-28,5000.0,5000.0,0.0,BULL,0.0,0.782,False,1,0.0,40.0,0.0,20.0,40.0
2019-03-29,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.748,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-01,5000.0,5000.0,0.0,BULL,0.0,0.667,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-02,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.683,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-03,5000.0,5000.0,0.0,BULL,0.0,0.755,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-04,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.755,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-05,5000.0,5000.0,0.0,BULL,0.0,0.708,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-08,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.658,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-09,5000.0,5000.0,0.0,BULL,0.0,0.726,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-10,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.702,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-11,5000.0,5000.0,0.0,BULL,0.0,0.658,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-12,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.658,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-15,5000.0,5000.0,0.0,BULL,0.0,0.658,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-16,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.658,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-17,5000.0,5000.0,0.0,BULL,0.0,0.701,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-18,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.701,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-22,5000.0,5000.0,0.0,BULL,0.0,0.658,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-23,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.658,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-24,5000.0,5000.0,0.0,BULL,0.0,0.681,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-25,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.747,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-26,5000.0,5000.0,0.0,BULL,0.0,0.755,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-29,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.693,False,1,0.0,40.0,0.0,20.0,40.0
2019-04-30,5000.0,5000.0,0.0,BULL,0.0,0.64,False,1,0.0,40.0,0.0,20.0,40.0
2019-05-01,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.719,False,1,0.0,40.0,0.0,20.0,40.0
2019-05-02,5000.0,5000.0,0.0,BULL,0.0,0.719,False,1,0.0,40.0,0.0,20.0,40.0
2019-05-03,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.782,False,1,0.0,40.0,0.0,20.0,40.0
2019-05-06,5000.0,5000.0,0.0,BULL,0.0,0.719,False,1,0.0,40.0,0.0,20.0,40.0
2019-05-07,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.722,False,1,0.0,40.0,0.0,20.0,40.0
2019-05-08,5000.0,5000.0,0.0,BULL,0.0,0.722,False,1,0.0,40.0,0.0,20.0,40.0
2019-05-09,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.722,False,1,0.0,40.0,0.0,20.0,40.0
2019-05-10,5000.0,5000.0,0.0,BULL,0.0,0.662,False,1,0.0,40.0,0.0,20.0,40.0
2019-05-13,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.852,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-14,5000.0,5000.0,0.0,BULL,0.0,0.852,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-15,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.803,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-16,5000.0,5000.0,0.0,BULL,0.0,0.406,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-17,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.725,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-20,5000.0,5000.0,0.0,BULL,0.0,0.688,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-21,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.589,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-22,5000.0,5000.0,0.0,BULL,0.0,0.589,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-23,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.736,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-24,5000.0,5000.0,0.0,BULL,0.0,0.589,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-28,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.833,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-29,5000.0,5000.0,0.0,BULL,0.0,0.833,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-30,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.779,False,0,0.0,55.0,2.0,0.0,43.0
2019-05-31,5000.0,5000.0,0.0,BULL,0.0,0.833,False,0,0.0,55.0,2.0,0.0,43.0
2019-06-03,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.757,False,0,0.0,55.0,2.0,0.0,43.0
2019-06-04,5000.0,5000.0,0.0,BULL,0.0,0.423,False,0,0.0,55.0,2.0,0.0,43.0
2019-06-05,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.429,False,0,0.0,55.0,2.0,0.0,43.0
2019-06-06,5000.0,5000.0,0.0,BULL,0.0,0.429,False,0,0.0,55.0,2.0,0.0,43.0
2019-06-07,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.564,False,0,0.0,55.0,2.0,0.0,43.0
2019-06-10,5000.0,5000.0,0.0,BULL,0.0,0.545,False,0,0.0,55.0,2.0,0.0,43.0
2019-06-11,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.3,False,0,0.0,55.0,2.0,0.0,43.0
2019-06-12,5000.0,5000.0,0.0,BULL,0.0,0.253,False,1,0.0,40.0,0.0,20.0,40.0
2019-06-13,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.316,False,1,0.0,40.0,0.0,20.0,40.0
2019-06-14,5000.0,5000.0,0.0,BULL,0.0,0.343,False,1,0.0,40.0,0.0,20.0,40.0
2019-06-17,5000.0,5000.0,0.0,SIDEWAYS,0.0,0.674,False,1,0.0,40.0,0.0,20.0,40.0
2019-06-18,5000.0,5000.0,0.0,BULL,0.0,0.646,False,1,0.0,40.0,0.0,20.0,40.0
