Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2026-04-21T15:22:32-0400,Trade,Buy to Close,BUY_TO_CLOSE,QQQ,Equity,Bought 11.00068 QQQ @ 647.01,"-7,117.55",11.00068,-647.01,0.00,-0.10,,,,,,,457552397,"-7,117.65",USD
2026-04-20T15:20:54-0400,Trade,Sell to Open,SELL_TO_OPEN,TQQQ,Equity,Sold 100 TQQQ @ 57.98,"5,798.00",100,57.98,0.00,-0.22,,,,,,,456488789,"5,797.78",USD
2026-04-20T15:20:53-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 11 QQQ @ 646.44,"7,110.84",11,646.44,0.00,-0.16,,,,,,,456488783,"7,110.68",USD
2026-04-18T15:26:33-0400,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.68,0,,--,0.00,,,,,,,,-0.68,USD
2026-04-17T16:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,TQQQ  260417P00041000,Equity Option,Removal of 1.0 TQQQ 04/17/26 Put 41.00 due to expiration.,0.00,1,0.00,--,0.00,100,TQQQ,TQQQ,4/17/26,41,PUT,,0.00,USD
2026-04-17T15:24:17-0400,Trade,Buy to Open,BUY_TO_OPEN,SGOV,Equity,Bought 9.00004 SGOV @ 100.56,-905.09,9.00004,-100.56,0.00,-0.10,,,,,,,455760741,-905.19,USD
2026-04-17T15:24:17-0400,Trade,Buy to Open,BUY_TO_OPEN,SGOV,Equity,Bought 2 SGOV @ 100.56,-201.13,2,-100.56,0.00,-0.10,,,,,,,455760740,-201.23,USD
2026-04-17T15:24:17-0400,Trade,Sell to Open,SELL_TO_OPEN,TQQQ,Equity,Sold 101 TQQQ @ 58.29,"5,887.29",101,58.29,0.00,-0.23,,,,,,,455760737,"5,887.06",USD
2026-04-17T15:24:17-0400,Trade,Sell to Close,SELL_TO_CLOSE,TQQQ,Equity,Sold 101 TQQQ @ 58.30,"5,887.79",101,58.29,0.00,-0.23,,,,,,,455760733,"5,887.56",USD
2026-04-17T15:24:17-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 29 QLD @ 76.46,"2,217.19",29,76.46,0.00,-0.08,,,,,,,455760728,"2,217.12",USD
