Symbol,Strategy,Direction,Exit,Entry Date,Exit Date,Days Held,Entry $,Exit $,PnL $,PnL %
AAPL,NAKED_LONG,BEARISH,TIME,2019-01-02,2019-01-07,5,2862.97,3011.68,148.71,4.5
AMD,NAKED_LONG,BEARISH,TIME,2019-01-02,2019-01-07,5,2843.72,3145.05,301.33,9.0
GDX,NAKED_LONG,BEARISH,TIME,2019-01-03,2019-01-08,5,3275.64,3192.7,-82.95,-2.5
MSFT,NAKED_LONG,BEARISH,TIME,2019-01-07,2019-01-14,7,2487.52,2386.79,-100.74,-3.0
TSLA,DIAGONAL,BULLISH,TIME,2019-01-02,2019-01-17,15,3111.43,3428.83,317.4,9.5
AVGO,DIAGONAL,BULLISH,TIME,2019-01-03,2019-01-18,15,3142.25,3278.92,136.67,4.1
GDX,DIAGONAL,BULLISH,TIME,2019-01-07,2019-01-22,15,3247.06,2793.49,-453.57,-13.6
QCOM,DIAGONAL,BULLISH,TIME,2019-01-08,2019-01-23,15,3154.13,2895.47,-258.65,-7.8
GDX,DIAGONAL,BULLISH,TIME,2019-01-08,2019-01-23,15,3227.12,2794.72,-432.39,-13.0
GDX,NAKED_LONG,BEARISH,TIME,2019-01-23,2019-01-28,5,3133.99,3226.4,92.41,2.8
AAPL,DIAGONAL,BULLISH,TIME,2019-01-14,2019-01-29,15,2945.67,2717.71,-227.95,-6.8
ANET,DIAGONAL,BULLISH,TIME,2019-01-17,2019-02-01,15,3142.25,2958.91,-183.34,-5.5
TSLA,DIAGONAL,BULLISH,TIME,2019-01-18,2019-02-04,17,2764.13,2304.68,-459.45,-13.8
AVGO,DIAGONAL,BULLISH,TIME,2019-01-23,2019-02-07,15,2820.99,2355.65,-465.33,-14.0
ANET,DIAGONAL,BULLISH,TIME,2019-01-28,2019-02-12,15,3036.23,3250.42,214.18,6.4
TQQQ,DIAGONAL,BULLISH,TIME,2019-01-29,2019-02-13,15,3273.79,3170.57,-103.22,-3.1
MSFT,CREDIT_SPREAD,BULLISH,TIME,2019-02-01,2019-02-19,18,981.39,482.14,499.25,15.0
GDX,DIAGONAL,BULLISH,TIME,2019-02-04,2019-02-19,15,3098.8,3130.16,31.36,0.9
TQQQ,DIAGONAL,BULLISH,TIME,2019-02-07,2019-02-22,15,3235.18,3125.6,-109.58,-3.3
META,CREDIT_SPREAD,BULLISH,TIME,2019-02-12,2019-02-27,15,1306.4,973.82,332.58,10.0
AVGO,NAKED_LONG,BULLISH,TIME,2019-02-22,2019-02-27,5,2882.25,2831.47,-50.78,-1.5
GDX,DIAGONAL,BULLISH,TIME,2019-02-13,2019-02-28,15,3014.26,2999.62,-14.64,-0.4
SOXL,NAKED_LONG,BULLISH,TIME,2019-02-27,2019-03-04,5,3120.22,3019.74,-100.49,-3.0
TQQQ,NAKED_LONG,BULLISH,TIME,2019-02-28,2019-03-05,5,3284.49,3227.17,-57.32,-1.7
META,CREDIT_SPREAD,BULLISH,TIME,2019-02-19,2019-03-06,15,1280.91,452.45,828.46,24.9
MU,CREDIT_SPREAD,BULLISH,TIME,2019-02-19,2019-03-06,15,1390.81,932.87,457.94,13.7
WDAY,NAKED_LONG,BULLISH,TIME,2019-03-04,2019-03-11,7,3989.97,4121.65,131.68,3.3
SOXL,NAKED_LONG,BULLISH,TIME,2019-03-06,2019-03-11,5,3161.07,3078.5,-82.57,-2.5
AAPL,NAKED_LONG,BULLISH,TIME,2019-03-06,2019-03-11,5,2572.23,2644.07,71.85,2.2
