date,nav,cash,leaps_mark,short_mark,regime,positions_open,pmcc_income_today,action,pmcc_income
2019-01-02,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-03,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-04,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-07,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-08,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-09,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-10,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-11,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-14,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-15,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-16,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-17,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-18,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-22,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-23,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-24,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-25,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-28,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-29,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-30,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-01-31,25000.0,25000.0,0.0,0.0,BEAR_SMA_FORCED,0.0,0.0,,
2019-02-01,25000.0,25000.0,0.0,0.0,BEAR,0.0,0.0,,
2019-02-04,25000.0,25000.0,0.0,0.0,BEAR,0.0,0.0,,
2019-02-05,25000.0,25000.0,0.0,0.0,BEAR,0.0,0.0,,
2019-02-06,25000.0,25000.0,0.0,0.0,BULL_STRONG,0.0,0.0,,
2019-02-07,24961.788990191257,17319.587028442395,7642.201961748862,0.0,BULL_STRONG,1.0,0.0,,
2019-02-08,24927.958114319455,9890.455512014165,15037.50260230529,0.0,BULL_STRONG,2.0,0.0,,
2019-02-11,24865.459481424936,9890.455512014165,14975.003969410769,0.0,BULL_STRONG,2.0,0.0,,
2019-02-12,25974.972931819175,9890.455512014165,16084.51741980501,0.0,BULL_STRONG,2.0,0.0,,
2019-02-13,26065.837043133466,9890.455512014165,16175.381531119301,0.0,BULL_STRONG,2.0,0.0,,
2019-02-14,26234.17513843706,2137.3701240258906,24096.80501441117,0.0,BULL_STRONG,3.0,0.0,,
2019-02-15,26363.77324767416,2137.3701240258906,24226.40312364827,0.0,BULL_STRONG,3.0,0.0,,
2019-02-19,26539.48043700566,2137.3701240258906,24402.11031297977,0.0,BULL_STRONG,3.0,0.0,,
2019-02-20,26271.665425398045,2137.3701240258906,24134.295301372156,0.0,BULL_STRONG,3.0,0.0,,
2019-02-21,25881.54960605956,2137.3701240258906,23744.179482033673,0.0,BULL_STRONG,3.0,0.0,,
2019-02-22,26612.87866287124,2137.3701240258906,24475.508538845348,0.0,BULL_STRONG,3.0,0.0,,
2019-02-25,27373.35642137714,2137.3701240258906,25235.986297351246,0.0,BULL_STRONG,3.0,0.0,,
2019-02-26,27575.998539437933,2137.3701240258906,25438.62841541204,0.0,BULL_STRONG,3.0,0.0,,
2019-02-27,27352.238523352775,2137.3701240258906,25214.868399326886,0.0,BULL_STRONG,3.0,0.0,,
2019-02-28,27043.33099664266,2137.3701240258906,24905.960872616768,0.0,BULL_STRONG,3.0,0.0,,
2019-03-01,27685.844736672116,2137.3701240258906,25548.474612646227,0.0,BULL_STRONG,3.0,0.0,,
2019-03-04,27889.292593025813,2137.3701240258906,25751.922468999925,0.0,BULL_STRONG,3.0,0.0,,
2019-03-05,27998.276153977073,2137.3701240258906,25860.906029951184,0.0,BULL_STRONG,3.0,0.0,,
2019-03-06,27465.253377791174,2137.3701240258906,25327.88325376528,0.0,BULL_STRONG,3.0,0.0,,
2019-03-07,26084.474405477937,2137.3701240258906,23947.104281452048,0.0,BULL_STRONG,3.0,0.0,,
2019-03-08,25705.33039820235,2137.3701240258906,23567.96027417646,0.0,BULL_STRONG,3.0,0.0,,
2019-03-11,27934.923149613707,2137.3701240258906,25797.55302558782,0.0,BULL_STRONG,3.0,0.0,,
2019-03-12,28564.882524772955,2137.3701240258906,26427.512400747066,0.0,BULL_STRONG,3.0,0.0,,
2019-03-13,29546.210625927088,2137.3701240258906,27408.840501901195,0.0,BULL_STRONG,3.0,0.0,,
2019-03-14,29300.82030526203,2137.3701240258906,27163.45018123614,0.0,BULL_STRONG,3.0,0.0,,
2019-03-15,30524.996896586053,2137.3701240258906,28387.626772560165,0.0,BULL_STRONG,3.0,0.0,,
2019-03-18,30852.502461603523,2137.3701240258906,28715.132337577634,0.0,BULL_STRONG,3.0,0.0,,
2019-03-19,31393.130140347377,2137.3701240258906,29255.76001632149,0.0,BULL_STRONG,3.0,0.0,,
2019-03-20,32009.065332380138,2137.3701240258906,29871.69520835425,0.0,BULL_STRONG,3.0,0.0,,
2019-03-21,13135.077220356867,,,,BULL_STRONG,,,PROFIT_TAKE,0.0
2019-03-21,23833.664472399672,,,,BULL_STRONG,,,PROFIT_TAKE,0.0
2019-03-21,34121.73252532232,14354.868529157351,19766.863996164964,0.0,BULL_STRONG,2.0,0.0,,
2019-03-22,32895.470217812435,6581.021116172449,26314.449101639984,0.0,BULL_STRONG,3.0,440.2742516786441,,
2019-03-25,32124.809730266606,6581.021116172449,25910.193918853773,366.40530475961623,BULL_STRONG,3.0,0.0,,
2019-03-26,32177.438173080052,6581.021116172449,25930.273603890866,333.85654698326096,BULL_STRONG,3.0,0.0,,
2019-03-27,31456.46253139498,6581.021116172449,25140.382277050998,264.94086182846456,BULL_STRONG,3.0,0.0,,
2019-03-28,31518.485903328587,6581.021116172449,25185.148267828023,247.68348067188768,BULL_STRONG,3.0,0.0,,
2019-03-29,32537.667523006057,6663.458987092143,26042.525735340554,168.3171994266381,BULL_STRONG,3.0,0.0,,
2019-04-01,34057.9160395772,6139.70909073422,27918.206948842977,0.0,BULL_STRONG,3.0,0.0,,
2019-04-02,34624.2735468272,6139.70909073422,28484.56445609298,0.0,BULL_STRONG,3.0,0.0,,
2019-04-03,35619.42712117325,6139.70909073422,29479.71803043903,0.0,BULL_STRONG,3.0,0.0,,
2019-04-04,35494.60295142318,6139.70909073422,29354.89386068896,0.0,BULL_STRONG,3.0,0.0,,
2019-04-05,36125.23695342529,6139.70909073422,29985.527862691066,0.0,BULL_STRONG,3.0,0.0,,
2019-04-08,17010.860445765793,,,,BULL_STRONG,,,PROFIT_TAKE,0.0
2019-04-08,36507.40291201549,17010.860445765793,19496.54246624969,0.0,BULL_STRONG,2.0,0.0,,
2019-04-09,36287.86512756057,7028.04539365824,29259.819733902335,0.0,BULL_STRONG,3.0,0.0,,
2019-04-10,36822.12577641236,7028.04539365824,29794.080382754117,0.0,BULL_STRONG,3.0,0.0,,
2019-04-11,36286.69558396485,7028.04539365824,29258.650190306613,0.0,BULL_STRONG,3.0,0.0,,
2019-04-12,36708.823651924584,7028.04539365824,29680.778258266342,0.0,BULL_STRONG,3.0,0.0,,
2019-04-15,36758.00882924731,7028.04539365824,29729.963435589067,0.0,BULL_STRONG,3.0,0.0,,
2019-04-16,37311.77349815159,7028.04539365824,30283.728104493348,0.0,BULL_STRONG,3.0,0.0,,
2019-04-17,38036.61075501151,7028.04539365824,31008.565361353274,0.0,BULL_STRONG,3.0,0.0,,
2019-04-18,38106.24625134359,7028.04539365824,31078.200857685348,0.0,BULL_STRONG,3.0,0.0,,
2019-04-22,38616.69503178504,7028.04539365824,31588.649638126804,0.0,BULL_STRONG,3.0,0.0,,
2019-04-23,40910.4451664189,7028.04539365824,33882.399772760655,0.0,BULL_STRONG,3.0,0.0,,
2019-04-24,40506.36128857806,7028.04539365824,33478.31589491982,0.0,BULL_STRONG,3.0,0.0,,
2019-04-25,41264.00090569366,7028.04539365824,34235.95551203542,0.0,BULL_STRONG,3.0,0.0,,
2019-04-26,41279.95620301607,7028.04539365824,34251.910809357825,0.0,BULL_STRONG,3.0,0.0,,
2019-04-29,41664.53550676122,7028.04539365824,34636.49011310298,0.0,BULL_STRONG,3.0,0.0,,
2019-04-30,40192.05374046641,7028.04539365824,33164.008346808165,0.0,BULL_STRONG,3.0,0.0,,
2019-05-01,40076.990812682496,7028.04539365824,33048.945419024254,0.0,BULL_STRONG,3.0,0.0,,
2019-05-02,39149.6472922428,7028.04539365824,32121.60189858456,0.0,BULL_STRONG,3.0,0.0,,
2019-05-03,41602.84922214971,7028.04539365824,34574.803828491466,0.0,BULL_STRONG,3.0,0.0,,
2019-05-06,41117.37235638829,7028.04539365824,34089.32696273005,0.0,BULL_STRONG,3.0,0.0,,
2019-05-07,40537.809517832255,8278.633261118934,32259.17625671332,0.0,BULL_STRONG,3.0,1250.5878674606943,,
2019-05-08,38993.84823671754,8278.633261118934,31857.01370679465,1141.798731196046,BULL_STRONG,3.0,0.0,,
2019-05-09,38191.55673852031,8278.633261118934,30817.837293473516,904.9138160721427,BULL_STRONG,3.0,0.0,,
2019-05-10,37327.47387270695,8278.633261118934,29631.448703344988,582.608091756968,BULL_STRONG,3.0,0.0,,
2019-05-13,34293.86679069282,8278.633261118934,26297.39042055833,282.1568909844523,BULL_STRONG,3.0,0.0,,
2019-05-14,35847.95105411819,9289.684701654458,26558.26635246373,0.0,BULL_STRONG,3.0,1011.0514405355243,,
2019-05-15,37351.24224492239,9739.783300209974,27959.561153796945,348.10220908453147,BULL_STRONG,3.0,450.09859855551656,,
2019-05-16,38312.32565592277,9203.575147784637,29108.750508138128,0.0,BULL_STRONG,3.0,0.0,,
2019-05-17,36855.80606289809,9203.575147784637,27652.230915113454,0.0,BULL_STRONG,3.0,0.0,,
